source_entity,relationship_type,target_entity,source_document
Ministry of Health and Social Action,GOVERNED_BY,Direction Générale de l'Action Sociale (DGAS),Senegal Yellow Economy 25 June 2025.pdf
Quality Assurance Analyst,HAS_CHARACTERISTIC,Elastic,Kenya Platinum Economy 26 June 2025.pdf
Teamwork,HAS_PREREQUISITE,Technical Skills,Ethiopia Platinum Economy 26 June 2025.pdf
DevOps and Cloud Engineering,REQUIRES_SKILL,Cloud Management,Kenya Platinum Economy 26 June 2025.pdf
Plant Operator,HAS_CHARACTERISTIC,Skilled,South Africa Iron Economy 26 June 2025.pdf
Regulatory Specialist,REQUIRES_SKILL,Legal Drafting,Senegal Green Economy 25 June 2025.pdf
Finance and Administration Manager,GOVERNED_BY,Strathmore Business School,Kenya Gold Economy 26 June 2025.pdf
Problem -Solving,HAS_PREREQUISITE,Technical Skills,Ethiopia Platinum Economy 26 June 2025.pdf
Freelance,BELONGS_TO_DOMAIN,Gig Economy,Ghana Yellow Economy 25 June 2025.pdf
Bambey,LOCATED_IN,Senegal,Senegal Undergraduate Admission Prerequisites_.pdf
Data Jobs,HAS_CHARACTERISTIC,Entrepreneurial,Kenya Platinum Economy 26 June 2025.pdf
Portfolio Analyst,HAS_CHARACTERISTIC,Skilled,Ghana Gold Economy 26 June 2025.pdf
Media & Digital Content,REQUIRES_SKILL,Graphic Design,Kenya Orange Economy 25 June 2025.pdf
Remote Monitoring,HAS_CHARACTERISTIC,Knowledge,Ghana Green Economy 25 June 2025.pdf
Africa Nazarene University,LOCATED_IN,Kenya,Kenya Yellow Economy 25 June 2025.pdf
Bâtiments verts,LOCATED_IN,Sénégal,Senegal Green Economy 25 June 2025.pdf
Informal Opportunities,LOCATED_IN,Senegal,Lists of Job Platforms in our Countries.pdf
Transport Planner,INFLUENCED_BY,Regulations Related to Vehicle Standards,South Africa Green Economy 25 June 2025.pdf
aquaculture,PART_OF_INDUSTRY,South Africa's Blue Economy,South Africa Blue Economy 25 June 2025.pdf
Mining,INFLUENCED_BY,Localized Growth,Senegal Bronze Economy 26 June 2025.pdf
Fractional Roles,HAS_CHARACTERISTIC,Gig,Lists of Job Platforms in our Countries.pdf
Fine Artist,REQUIRES_SKILL,Exhibition Curation,Ghana Orange Economy 25 June 2025.pdf
Renal Care,BELONGS_TO_DOMAIN,Lavender Economy,Kenya Lavender Economy 25 June 2025.pdf
Fishing,INFLUENCED_BY,Seasonal Fish Migrations,South Africa Blue Economy 25 June 2025.pdf
Université Amadou -Mahtar -Mbow (UAM),TEACHES_SKILL,Sustainable Territorial Planning,Senegal Yellow Economy 25 June 2025.pdf
Programme Officer,PART_OF_INDUSTRY,ELFA Kenya,Kenya Yellow Economy 25 June 2025.pdf
Bronze Economy,HAS_CHARACTERISTIC,Imitative,Senegal Bronze Economy 26 June 2025.pdf
Community Health Assistant,HAS_CHARACTERISTIC,Permanent,Kenya Yellow Economy 25 June 2025.pdf
IT Auditing,BELONGS_TO_DOMAIN,Platinum Economy,South Africa Yellow Economy 25 June 2025.pdf
Technical and Trade Skills,REQUIRES_SKILL,Manufacturing,Kenya Iron Economy 26 June 2025.pdf
Kenya Fisheries Service,IMPLEMENTS,Vessel Monitoring Systems,Kenya Blue Economy 25 June 2025.pdf
Community-Based Sales and Marketing,PART_OF_INDUSTRY,Public Health,Senegal Green Economy 25 June 2025.pdf
Retail & Commercial Banking,LEADS_TO,Relationship Manager,South Africa Gold Economy 26 June 2025.pdf
Creative Director,HAS_CHARACTERISTIC,Elastic,Ghana Orange Economy 25 June 2025.pdf
Home-Based Caregiver / Nanny / Domestic Worker,HAS_CHARACTERISTIC,Gig,Kenya Lavender Economy 25 June 2025.pdf
Data Analysis,REQUIRES_SKILL,Career_Pathway,Senegal Green Economy 25 June 2025.pdf
Solar,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Collaboration,PART_OF_INDUSTRY,Green Economy,Ghana Green Economy 25 June 2025.pdf
Informal Sector,HAS_CHARACTERISTIC,Informal,Kenya Yellow Economy 25 June 2025.pdf
Industrial Automation Job,PART_OF_INDUSTRY,CareerJunction,South Africa Yellow Economy 25 June 2025.pdf
Learning Strategist,PART_OF_INDUSTRY,EdTech,Ethiopia Platinum Economy 26 June 2025.pdf
Marine Engineers (Engineering Officers),PART_OF_INDUSTRY,Maritime Transport and Logistics,South Africa Blue Economy 25 June 2025.pdf
Global Health Network,LOCATED_IN,Sénégal,Senegal Lavender Economy 25 June 2025.pdf
Local Agricultural Value Chains,BELONGS_TO_DOMAIN,Bronze Economy,Senegal Bronze Economy 26 June 2025.pdf
Construction Workers,HAS_CHARACTERISTIC,Physical,South Africa Iron Economy 26 June 2025.pdf
Registered Nurses,HAS_CHARACTERISTIC,Permanent,South Africa Lavender Economy 25 June 2025.pdf
Micro-certifications,TEACHES_SKILL,AI in Asset Management,South Africa Gold Economy 26 June 2025.pdf
Economist,BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
Midwife (Sage-femme),HAS_CHARACTERISTIC,Formal,Senegal Lavender Economy 25 June 2025.pdf
Renewable Energy Technology,LOCATED_IN,National,South Africa Yellow Economy 25 June 2025.pdf
Bioforce,BELONGS_TO_DOMAIN,Yellow Economy,Senegal Green Economy 25 June 2025.pdf
Forest Manager,PART_OF_INDUSTRY,Forestry,Ghana Green Economy 25 June 2025.pdf
Digital Transformation,INFLUENCED_BY,Telehealth,Kenya Lavender Economy 25 June 2025.pdf
Proofreader,HAS_CHARACTERISTIC,Elastic,South Africa Orange Economy 25 June 2025.pdf
Data Analyst,BELONGS_TO_DOMAIN,Green Economy,Senegal Green Economy 25 June 2025.pdf
Vendor,BELONGS_TO_DOMAIN,Orange Economy,Kenya Blue Economy 25 June 2025.pdf
Financial Literacy Trainer,BELONGS_TO_DOMAIN,Green Economy,Senegal Green Economy 25 June 2025.pdf
Wind Energy Development,PART_OF_INDUSTRY,Mainstream Renewable Power / Lekela Power,Senegal Green Economy 25 June 2025.pdf
Remote Editing,LOCATED_IN,Ghana,Ghana Orange Economy 25 June 2025.pdf
Rescue Dada Centre,PART_OF_INDUSTRY,Internship,Kenya Yellow Economy 25 June 2025.pdf
Maintenance Technician,PART_OF_INDUSTRY,Manufacturing,Ghana Iron Economy 26 June 2025.pdf
Drugnet,LOCATED_IN,Ghana,Ghana Lavender Economy 25 June 2025.pdf
Renewable Energy Jobs,BELONGS_TO_DOMAIN,Green Economy,South Africa Green Economy 25 June 2025.pdf
Human Resources Consultant,PART_OF_INDUSTRY,Talent Management,Ethiopia Platinum Economy 26 June 2025.pdf
Aquaculture Technician,PART_OF_INDUSTRY,Aquaculture,Ghana Blue Economy 25 June 2025.pdf
IgniteTech,LOCATED_IN,Accra,Ghana Platinum Economy 26 June 2025.pdf
Communication,REQUIRES_SKILL,Big Data Platform Operations Engineer,Ethiopia Platinum Economy 26 June 2025.pdf
Tech Entrepreneurship,HAS_CHARACTERISTIC,Entrepreneurial,Ghana Platinum Economy 26 June 2025.pdf
Aquaculture Manager,HAS_CHARACTERISTIC,Knowledge,South Africa Blue Economy 25 June 2025.pdf
Heavy Equipment Operation,LOCATED_IN,Senegal,Senegal Iron Economy 26 June 2025.pdf
Environmental Sensor Engineer,HAS_CHARACTERISTIC,Skilled,Ethiopia Platinum Economy 26 June 2025.pdf
BSc in Marine Biology,TEACHES_SKILL,University of Johannesburg (UJ),South Africa Blue Economy 25 June 2025.pdf
Civil Engineer,LOCATED_IN,South Africa,South Africa Iron Economy 26 June 2025.pdf
Agronomy,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
Influence,REQUIRES_SKILL,Operations Manager (Merchant Growth),Ethiopia Platinum Economy 26 June 2025.pdf
"Manager, Internal Audit",HAS_CHARACTERISTIC,Skilled,Kenya Gold Economy 26 June 2025.pdf
Architect,BELONGS_TO_DOMAIN,Yellow Economy,Kenya Iron Economy 26 June 2025.pdf
Upwork,LOCATED_IN,Kenya,Kenya Orange Economy 25 June 2025.pdf
Master's Degree,HAS_PREREQUISITE,Trainer,Ghana Green Economy 25 June 2025.pdf
Video Editor,REQUIRES_SKILL,Creativity,Kenya Orange Economy 25 June 2025.pdf
Capital Markets & Asset Mgmt,REQUIRES_SKILL,Portfolio Theory,Kenya Gold Economy 26 June 2025.pdf
Apprenticeship Programs,INFLUENCED_BY,Companies,Senegal Iron Economy 26 June 2025.pdf
Valuations,REQUIRES_SKILL,Strategy Consulting,Ethiopia Platinum Economy 26 June 2025.pdf
Startup Community Coordinator / Manager,REQUIRES_SKILL,English,Senegal Platinum Economy 26 June 2025.pdf
Small-Scale Fishing Sector,LOCATED_IN,Eastern Cape,South Africa Blue Economy 25 June 2025.pdf
Port of Ngqura,LOCATED_IN,Eastern Cape,South Africa Blue Economy 25 June 2025.pdf
Hybrid Professional,PART_OF_INDUSTRY,IT,Senegal Gold Economy 26 June 2025.pdf
Master Mechanic,HAS_CHARACTERISTIC,Physical,Ghana Iron Economy 26 June 2025.pdf
Inter-Agency Coordination,REQUIRES_SKILL,Water and Sanitation Projects,Ghana Green Economy 25 June 2025.pdf
Education,LOCATED_IN,Greater Accra Region,Ghana Yellow Economy 25 June 2025.pdf
Community Health Workers,LOCATED_IN,Kenya,Kenya Lavender Economy 25 June 2025.pdf
Nkangala TVET College,LOCATED_IN,South Africa,South Africa Iron Economy 26 June 2025.pdf
DevOps Manager,REQUIRES_SKILL,HashiCorp Certified: Terraform Associate,Kenya Platinum Economy 26 June 2025.pdf
Peri-Urban Areas,LOCATED_IN,Kenya,Kenya Green Economy 25 June 2025.pdf
Director: Small Scale Fisheries Management,PART_OF_INDUSTRY,Fisheries and Aquaculture Sector,South Africa Blue Economy 25 June 2025.pdf
Fitter,LOCATED_IN,Gauteng,South Africa Iron Economy 26 June 2025.pdf
Electricians,BELONGS_TO_DOMAIN,Iron Economy,Senegal Iron Economy 26 June 2025.pdf
Climate Adaptation Specialist,HAS_CHARACTERISTIC,Knowledge,South Africa Green Economy 25 June 2025.pdf
Owner-Operators,HAS_CHARACTERISTIC,Informal,South Africa Iron Economy 26 June 2025.pdf
Organic Farm Manager,HAS_CHARACTERISTIC,Knowledge,South Africa Green Economy 25 June 2025.pdf
DevOps Engineer,REQUIRES_SKILL,CI/CD,South Africa Yellow Economy 25 June 2025.pdf
Telehealth,BELONGS_TO_DOMAIN,Lavender Economy,Kenya Lavender Economy 25 June 2025.pdf
Public Transport Planner/Engineer,LOCATED_IN,Johannesburg,South Africa Green Economy 25 June 2025.pdf
Farm Supervisor,REQUIRES_SKILL,Inspecting crops/fields,Ghana Bronze Economy 26 June 2025.pdf
Centurion,PART_OF_INDUSTRY,Gauteng,South Africa Platinum Economy 26 June 2025.pdf
Marine Engineering,REQUIRES_SKILL,High-Skilled Freelancers and Consultants,Ghana Blue Economy 25 June 2025.pdf
Security Operations Center (SOC) Analyst,HAS_CHARACTERISTIC,Knowledge,South Africa Platinum Economy 26 June 2025.pdf
Addis Ababa Angels,PART_OF_INDUSTRY,Angel Investor Network,Ethiopia Platinum Economy 26 June 2025.pdf
Nurse,HAS_CHARACTERISTIC,Knowledge,Senegal Lavender Economy 25 June 2025.pdf
Supply Chain Digitalization,REQUIRES_SKILL,Supply Chain Certs,South Africa Yellow Economy 25 June 2025.pdf
Advanced Information and Communication Technology (ICT),BELONGS_TO_DOMAIN,Platinum Economy,Ghana Platinum Economy 26 June 2025.pdf
Freelancer,HAS_CHARACTERISTIC,Gig,South Africa Orange Economy 25 June 2025.pdf
HVAC and Lighting Systems,PART_OF_INDUSTRY,Energy Efficiency Services,Ghana Green Economy 25 June 2025.pdf
Geotechnical Engineer,PART_OF_INDUSTRY,Tunnels,South Africa Iron Economy 26 June 2025.pdf
Technicien Polyvalent en Audiovisuel,PART_OF_INDUSTRY,Audiovisual,Senegal Orange Economy 25 June 2025.pdf
Creative Hubs,TEACHES_SKILL,Market Access,Kenya Orange Economy 25 June 2025.pdf
Gauteng,LOCATED_IN,South Africa,South Africa Iron Economy 26 June 2025.pdf
Diploma in Agriculture,PART_OF_INDUSTRY,Formal Qualifications,South Africa Green Economy 25 June 2025.pdf
Artisan (Fitter and Turner),REQUIRES_SKILL,Red Seal Trade Test (merSETA),South Africa Iron Economy 26 June 2025.pdf
Audit Manager,PART_OF_INDUSTRY,Insurance Regulatory Authority,Kenya Gold Economy 26 June 2025.pdf
Fintech Specialist / Developer,PART_OF_INDUSTRY,Payment,Senegal Platinum Economy 26 June 2025.pdf
Sales Skills,REQUIRES_SKILL,Insurance Broker,Ghana Gold Economy 26 June 2025.pdf
Circular Economy,LEADS_TO,Waste Valorization,Senegal Bronze Economy 26 June 2025.pdf
Bonwire Kente Weaver,HAS_CHARACTERISTIC,Physical,Ghana Orange Economy 25 June 2025.pdf
Digital Content Manager,HAS_CHARACTERISTIC,Formal,South Africa Orange Economy 25 June 2025.pdf
Suame Magazine,INFLUENCED_BY,Ashanti Region,Ghana Iron Economy 26 June 2025.pdf
Telemedicine Platform Developer,HAS_CHARACTERISTIC,Elastic,Ghana Platinum Economy 26 June 2025.pdf
Safety Representative,BELONGS_TO_DOMAIN,Iron Economy,South Africa Iron Economy 26 June 2025.pdf
Tour Guides,LOCATED_IN,Axum,Ethiopia Orange Economy 25 June 2025.pdf
Visual Arts and Crafts,LOCATED_IN,South Africa,South Africa Orange Economy 25 June 2025.pdf
Renal Nurse,BELONGS_TO_DOMAIN,Lavender Economy,Kenya Lavender Economy 25 June 2025.pdf
SAP Technical Manager,BELONGS_TO_DOMAIN,Gold Economy,South Africa Gold Economy 26 June 2025.pdf
Artisanat,BELONGS_TO_DOMAIN,Orange Economy,Senegal Orange Economy 25 June 2025.pdf
Finance Department,PART_OF_INDUSTRY,Absa Bank,Kenya Gold Economy 26 June 2025.pdf
GES Teacher,GOVERNED_BY,Ghana Education Service (GES),Ghana Yellow Economy 25 June 2025.pdf
Skills Forecasting,INFLUENCED_BY,Technological Trends,South Africa Green Economy 25 June 2025.pdf
AutoGen,PART_OF_INDUSTRY,AI/ML Sector,Kenya Platinum Economy 26 June 2025.pdf
Freelance Career,REQUIRES_SKILL,Social Media Marketing,South Africa Orange Economy 25 June 2025.pdf
Formal employment,BELONGS_TO_DOMAIN,Orange Economy,Senegal Orange Economy 25 June 2025.pdf
Farm Manager,PART_OF_INDUSTRY,Agriculture,Senegal Bronze Economy 26 June 2025.pdf
Boom Swinger,BELONGS_TO_DOMAIN,Orange Economy,South Africa Orange Economy 25 June 2025.pdf
Social Security,GOVERNED_BY,Sénégal,Senegal Yellow Economy 25 June 2025.pdf
Ecotour guides,REQUIRES_SKILL,Communication,Ghana Green Economy 25 June 2025.pdf
Technician (Instrumentation & Control),PART_OF_INDUSTRY,Utilities,South Africa Iron Economy 26 June 2025.pdf
Publishing & Literature,REQUIRES_SKILL,Translation,Ethiopia Orange Economy 25 June 2025.pdf
Climate Change and Sustainability,LEADS_TO,Consulting,South Africa Green Economy 25 June 2025.pdf
Geriatric & Frail Care Protocols,PART_OF_INDUSTRY,Hospice,South Africa Lavender Economy 25 June 2025.pdf
Santé et Développement Durable,HAS_CHARACTERISTIC,Skilled,Senegal Undergraduate Admission Prerequisites_.pdf
Organic Farm,BELONGS_TO_DOMAIN,Bronze Economy,Kenya Green Economy 25 June 2025.pdf
Informal Transport Worker,HAS_CHARACTERISTIC,Informal,South Africa Iron Economy 26 June 2025.pdf
Administrateur Civil,REQUIRES_SKILL,Public Finance Management,Senegal Yellow Economy 25 June 2025.pdf
ELK Stack,PART_OF_INDUSTRY,Monitoring and Observability,Kenya Platinum Economy 26 June 2025.pdf
Programming Languages Freelancer,LOCATED_IN,Cape Town,South Africa Platinum Economy 26 June 2025.pdf
AI Ethics Specialist,GOVERNED_BY,POPIA,South Africa Platinum Economy 26 June 2025.pdf
Portfolio Operations Support / Manager,HAS_CHARACTERISTIC,Entrepreneurial,Ethiopia Platinum Economy 26 June 2025.pdf
Professional Roles,REQUIRES_SKILL,Finance,Senegal Gold Economy 26 June 2025.pdf
Gaming/Multimedia Developer,REQUIRES_SKILL,"Game engines (Unity, Godot)",Senegal Platinum Economy 26 June 2025.pdf
Gold Economy,LOCATED_IN,Ghana,Ghana Gold Economy 26 June 2025.pdf
Avis,LOCATED_IN,South Africa,South Africa Iron Economy 26 June 2025.pdf
Photographer,LOCATED_IN,All Urban Centers,Ghana Orange Economy 25 June 2025.pdf
Foresterie,HAS_CHARACTERISTIC,Skilled,Senegal Green Economy 25 June 2025.pdf
Caregiver,BELONGS_TO_DOMAIN,Lavender,Kenya Lavender Economy 25 June 2025.pdf
Housekeeping Staff,PART_OF_INDUSTRY,Tourism Sector,Kenya Blue Economy 25 June 2025.pdf
Experiential Learning,INFLUENCED_BY,ICT,Senegal Platinum Economy 26 June 2025.pdf
Universities,TEACHES_SKILL,Education,Kenya Yellow Economy 25 June 2025.pdf
Social Media Manager,REQUIRES_SKILL,social media management,Senegal Yellow Economy 25 June 2025.pdf
Miner,LOCATED_IN,Migori,Kenya Braonze Economy 25 June 2025.pdf
Health and Safety Officer,REQUIRES_SKILL,Inspections,South Africa Iron Economy 26 June 2025.pdf
N6/Diploma/Degree (Mechatronics),HAS_PREREQUISITE,Robot Specialist,South Africa Yellow Economy 25 June 2025.pdf
Solar Energy Installation,BELONGS_TO_DOMAIN,Green Economy,Senegal Bronze Economy 26 June 2025.pdf
Data Center Management,HAS_CHARACTERISTIC,Knowledge,Kenya Platinum Economy 26 June 2025.pdf
Forestry Expert,HAS_CHARACTERISTIC,Knowledge,Senegal Green Economy 25 June 2025.pdf
Technical Degree Programs,REQUIRES_SKILL,Scrum,South Africa Platinum Economy 26 June 2025.pdf
Remote Software Developer,LOCATED_IN,Ethiopia,Ethiopia Platinum Economy 26 June 2025.pdf
Poultry Farm Worker,BELONGS_TO_DOMAIN,Bronze Economy,Ghana Bronze Economy 26 June 2025.pdf
Operational Manager,BELONGS_TO_DOMAIN,Green Economy,Kenya Green Economy 25 June 2025.pdf
TV and radio stations,PART_OF_INDUSTRY,Media & Communication,Ghana Orange Economy 25 June 2025.pdf
Engineering Consulting Firms,BELONGS_TO_DOMAIN,Iron Economy,South Africa Iron Economy 26 June 2025.pdf
Techniciens Logistique,HAS_CHARACTERISTIC,Elastic,Senegal Iron Economy 26 June 2025.pdf
Technical Writer / Documentalist,LOCATED_IN,Dakar,Senegal Platinum Economy 26 June 2025.pdf
Cellulant Africa,HAS_CHARACTERISTIC,Skilled,Kenya Gold Economy 26 June 2025.pdf
British Council,IMPLEMENTS,Cultural Exchange,Ghana Orange Economy 25 June 2025.pdf
Managerial Roles,LOCATED_IN,Dakar,Senegal Gold Economy 26 June 2025.pdf
Impact Hub Accra,BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
Geosystems Consulting,PART_OF_INDUSTRY,Mining,Ghana Green Economy 25 June 2025.pdf
Project Coordinator,REQUIRES_SKILL,Project Mgt. (PMBOK),Senegal Yellow Economy 25 June 2025.pdf
Software Development for Industrial Applications,BELONGS_TO_DOMAIN,Platinum Economy,South Africa Yellow Economy 25 June 2025.pdf
Problem-Solving,PART_OF_INDUSTRY,AI/ML Sector,Kenya Platinum Economy 26 June 2025.pdf
UI/UX Designer,LOCATED_IN,Remote,Ghana Orange Economy 25 June 2025.pdf
Shipping and Logistics Management,HAS_CHARACTERISTIC,Formal,South Africa Blue Economy 25 June 2025.pdf
Artist,INFLUENCED_BY,Revenue Streams,Ethiopia Orange Economy 25 June 2025.pdf
Blockchain Developer,BELONGS_TO_DOMAIN,Platinum Economy,South Africa Gold Economy 26 June 2025.pdf
Chargé de mission audiovisuelle,BELONGS_TO_DOMAIN,Orange Economy,Senegal Orange Economy 25 June 2025.pdf
Government Programs,INFLUENCED_BY,Labor Demand,Ghana Bronze Economy 26 June 2025.pdf
Yellow Economy,PART_OF_INDUSTRY,Government,South Africa Yellow Economy 25 June 2025.pdf
Social Media Content Creator,REQUIRES_SKILL,Audience Engagement,Senegal Orange Economy 25 June 2025.pdf
Social Media Management,REQUIRES_SKILL,Community Engagement,Ghana Orange Economy 25 June 2025.pdf
Nedbank,PART_OF_INDUSTRY,South African Banks,South Africa Gold Economy 26 June 2025.pdf
Cloud Solutions Architect,REQUIRES_SKILL,Infrastructure as Code (Terraform),Senegal Platinum Economy 26 June 2025.pdf
Ordinary Seaman,LOCATED_IN,Cape Town,South Africa Blue Economy 25 June 2025.pdf
Oral Surgery,BELONGS_TO_DOMAIN,Lavender Economy,Senegal Undergraduate Admission Prerequisites_.pdf
Crypto Data Annotator,REQUIRES_SKILL,Coinbase,Kenya Platinum Economy 26 June 2025.pdf
Structural Reforms,LOCATED_IN,Kenya,Kenya Iron Economy 26 June 2025.pdf
FX Trader,REQUIRES_SKILL,cash flow forecasting,South Africa Gold Economy 26 June 2025.pdf
IT/ICT Sector,LOCATED_IN,Poland,South Africa Yellow Economy 25 June 2025.pdf
Renewable Energy Companies,PART_OF_INDUSTRY,Green Economy,South Africa Green Economy 25 June 2025.pdf
Gig Work,BELONGS_TO_DOMAIN,Orange Economy,Lists of Job Platforms in our Countries.pdf
Waitstaff,HAS_CHARACTERISTIC,Formal,Ghana Blue Economy 25 June 2025.pdf
Knowledge-intensive employment,HAS_CHARACTERISTIC,Knowledge,Senegal Platinum Economy 26 June 2025.pdf
Public Sector jobs,ADVERTISED_ON,Public Service Commission,Kenya Lavender Economy 25 June 2025.pdf
Civil Society,REQUIRES_SKILL,Data Analysis,Kenya Yellow Economy 25 June 2025.pdf
Caregiver,LOCATED_IN,Ghana,Ghana Lavender Economy 25 June 2025.pdf
Digital Health Platform Coordinator,REQUIRES_SKILL,Cloud computing basics,Senegal Lavender Economy 25 June 2025.pdf
JobVine,LOCATED_IN,Gauteng,Lists of Job Platforms in our Countries.pdf
Social Worker,HAS_CHARACTERISTIC,Knowledge,Senegal Yellow Economy 25 June 2025.pdf
Apprenticeships,INFLUENCED_BY,Strengthen and Formalize Industry Partnerships,South Africa Blue Economy 25 June 2025.pdf
Technician,PART_OF_INDUSTRY,Maintenance and Technical Services Sector,Kenya Iron Economy 26 June 2025.pdf
"Traducteur (Français, Anglais, Wolof)",BELONGS_TO_DOMAIN,Orange Economy,Senegal Orange Economy 25 June 2025.pdf
Youth Enterprise Development Fund (YEDF),IMPLEMENTS,Agriculture,Kenya Braonze Economy 25 June 2025.pdf
Urban Mobility Data Analyst,BELONGS_TO_DOMAIN,Green Economy,Senegal Green Economy 25 June 2025.pdf
Deckhand,BELONGS_TO_DOMAIN,Blue Economy,South Africa Blue Economy 25 June 2025.pdf
Fishers,LOCATED_IN,Lake Victoria,Kenya Blue Economy 25 June 2025.pdf
Startup Manager,HAS_CHARACTERISTIC,Elastic,Senegal Platinum Economy 26 June 2025.pdf
Water Resource Management,LOCATED_IN,Senegal,Senegal Green Economy 25 June 2025.pdf
Maintenance Artisans,PART_OF_INDUSTRY,Power Generation,South Africa Iron Economy 26 June 2025.pdf
Industrial Designers,REQUIRES_SKILL,3D Printing,South Africa Yellow Economy 25 June 2025.pdf
Energy Manager,REQUIRES_SKILL,Data Analysis,Senegal Green Economy 25 June 2025.pdf
Developpeur Web (Full-Stack),HAS_CHARACTERISTIC,Skilled,Senegal Orange Economy 25 June 2025.pdf
SAEE Confederation,PART_OF_INDUSTRY,Energy Efficiency,South Africa Green Economy 25 June 2025.pdf
Public Policy,REQUIRES_SKILL,Report Writing,Senegal Yellow Economy 25 June 2025.pdf
Blockchain Engineer,HAS_CHARACTERISTIC,Elastic,Ethiopia Platinum Economy 26 June 2025.pdf
Graphic Designers,BELONGS_TO_DOMAIN,Orange Economy,Ghana Orange Economy 25 June 2025.pdf
L2 (Langues et Civilisations),HAS_CHARACTERISTIC,Knowledge,Senegal Undergraduate Admission Prerequisites_.pdf
Battery Management Specialist,REQUIRES_SKILL,Battery Disposal Oversight,Kenya Green Economy 25 June 2025.pdf
Climate Finance Coordination,PART_OF_INDUSTRY,Climate Finance,Ghana Platinum Economy 26 June 2025.pdf
Software Engineer,REQUIRES_SKILL,Go,Senegal Platinum Economy 26 June 2025.pdf
Accra,LOCATED_IN,Manufacturing Sector,Ghana Iron Economy 26 June 2025.pdf
Psychologist,INFLUENCED_BY,ALIMA,Senegal Lavender Economy 25 June 2025.pdf
Site Reliability Engineer,LOCATED_IN,Kenya,Kenya Platinum Economy 26 June 2025.pdf
iHub,LOCATED_IN,Kilimani,Kenya Platinum Economy 26 June 2025.pdf
Construction Health and Safety Officer,BELONGS_TO_DOMAIN,Iron Economy,South Africa Iron Economy 26 June 2025.pdf
Mine Planning Engineer,REQUIRES_SKILL,Bachelor's/Master's in Mining Engineering,Ghana Bronze Economy 26 June 2025.pdf
Management Public,LOCATED_IN,Dakar,Senegal Yellow Economy 25 June 2025.pdf
Climate-Smart Agriculture Consultant,REQUIRES_SKILL,Water-efficient irrigation,Senegal Green Economy 25 June 2025.pdf
Small-Scale Fisheries (SSF),HAS_CHARACTERISTIC,Self-Employment,South Africa Blue Economy 25 June 2025.pdf
Fisheries/Aquaculture Specialists,PART_OF_INDUSTRY,Fisheries Research,Ghana Blue Economy 25 June 2025.pdf
Legal Staff,HAS_CHARACTERISTIC,Skilled,Ghana Blue Economy 25 June 2025.pdf
Project Management,REQUIRES_SKILL,Public Sector Workforce,Senegal Yellow Economy 25 June 2025.pdf
Remote Roles,BELONGS_TO_DOMAIN,Platinum Economy,Senegal Gold Economy 26 June 2025.pdf
Blockchain Full Stack Engineer,HAS_CHARACTERISTIC,Knowledge,Ethiopia Platinum Economy 26 June 2025.pdf
Wind Turbine Technician,REQUIRES_SKILL,Physical Dexterity,Senegal Green Economy 25 June 2025.pdf
CHOC Childhood Cancer Foundation,PART_OF_INDUSTRY,Social Work,South Africa Lavender Economy 25 June 2025.pdf
Just Transitions,LOCATED_IN,Ghana,Ghana Green Economy 25 June 2025.pdf
Artisanship,LOCATED_IN,Ghana,Ghana Orange Economy 25 June 2025.pdf
Informal,BELONGS_TO_DOMAIN,Blue Economy,South Africa Blue Economy 25 June 2025.pdf
Field Agronomist,REQUIRES_SKILL,ability to train others,Ghana Bronze Economy 26 June 2025.pdf
Forestry,LOCATED_IN,South Africa,South Africa Green Economy 25 June 2025.pdf
Personal Insurance,HAS_CHARACTERISTIC,Skilled,Senegal Gold Economy 26 June 2025.pdf
Tax Consultant,BELONGS_TO_DOMAIN,Gold Economy,South Africa Gold Economy 26 June 2025.pdf
Animator,HAS_CHARACTERISTIC,Skilled,Kenya Orange Economy 25 June 2025.pdf
Addis Ababa Science and Technology University (AASTU),LOCATED_IN,Addis Ababa,Ethiopia Platinum Economy 26 June 2025.pdf
Utilities Project,LOCATED_IN,Ghana,Ghana Iron Economy 26 June 2025.pdf
Data Science,BELONGS_TO_DOMAIN,Platinum Economy,Senegal Platinum Economy 26 June 2025.pdf
Community Health,HAS_CHARACTERISTIC,Skilled,Senegal Undergraduate Admission Prerequisites_.pdf
Program Evaluation,LEADS_TO,Consultancy,Senegal Yellow Economy 25 June 2025.pdf
Creativity,REQUIRES_SKILL,Music Producer,Ghana Orange Economy 25 June 2025.pdf
Clinical Medicine,BELONGS_TO_DOMAIN,Lavender Economy,Kenya Lavender Economy 25 June 2025.pdf
Environmental Monitoring Technology Specialist,BELONGS_TO_DOMAIN,Green Economy,Ghana Green Economy 25 June 2025.pdf
Traditional Arts,REQUIRES_SKILL,Community-based learning,Kenya Orange Economy 25 June 2025.pdf
Blockchain and Distributed Systems,PART_OF_INDUSTRY,Fintech,Kenya Platinum Economy 26 June 2025.pdf
Real Estate Developers,PART_OF_INDUSTRY,Sustainable Construction and Urban Development,Kenya Green Economy 25 June 2025.pdf
